Data Fields,Particulars,Where we get Information in Prospectus,Heading,Sub- Heading,Validation Rules
Fund Name,Name of the fund,Financial Highlights,Notes to Financial statements,Note1 - Organisation,"Non-empty, String, Proper capitalization, No special characters"
Inception Date,The day when Fund becomes operational,Financial Highlights,Notes to Financial statements,Note1 - Organisation,"Date presence (Fail), Format (Fail), Single value (Fail), Chronology (Pass), Numeric validity (Pass)"
Benchmark,what will be the benchmark of the fund on the basis which performance would be calculated,Summary,Summary,Principal Risk of investing in the Trust,"Benchmark type (Pass), String format (Pass)"
Investment Strategy,weather fund is going to be actively managed or going to replicate the index which is passive strategy,Summary,Summary,Principal Risk of investing in the Trust,"Presence (Pass – strategy is stated),Strategy type (Pass – passive vs active is clear),Clarity (Pass – no ambiguity)"
Lot Size,The fund Issue and redeem units in large lot sizes /creation units,Purchases and redemptions of creation units,Purchases and redemptions of creation units,,"Must be a clear statement, not implied.Must specify that units are issued/redeemed in large lot sizes."
Distributor Name,Underwriter of units/maintains record of creation unit orders,Purchases and redemptions of creation units,Purchases and redemptions of creation units,,"Must provide the legal name of the distributor/underwriter.Should follow proper capitalization and company suffix (Inc., LLC, etc.).Must avoid encoding errors or garbled characters."
Transaction Fee,Fee payable in connection with each creation and redemption of units,Purchases and redemptions of creation units,Purchase(Creation),Creation transaction fee,"Must explicitly state the numeric fee amount for creation/redemption.Should be expressed in a valid currency format (e.g., USD, INR)."
Accounting Basis,which accounting principles will the auditor follow,Report of independent registered public accounting firm,Report of independent registered public accounting firm,Summary of Significant Accounting Policies,"Must specify the accounting principles followed (e.g., US GAAP, IFRS).Should be a recognized standard, not just the auditor’s name."
Valuation Frequency,what is going to be frequency to determine the NAV of the fund,DETERMINATION OF NET ASSET VALUE,DETERMINATION OF NET ASSET VALUE,,Should use a valid time format (HH:MM with AM/PM).
NAV Calculation Method,which price would be used to calculate the NAV of the fund,DETERMINATION OF NET ASSET VALUE,DETERMINATION OF NET ASSET VALUE,,Should total to a clear aggregate % of net assets.Must use valid numeric/percentage format.
Expense Ratio / Management Fee,Different kinds expenses/fess bourne by the fund,In the summary section of the prospectus we will get this information,Summary,Fees and expenses of the trust,
Performance Fee Structure,Trust Average Net Assets ,In the summary section of the prospectus we will get this information,Summary,Fees and expenses of the trust,"Must explicitly state whether a performance fee exists or not. "
Dividend Policy,weather dividend earned from the fund's investments will be re-invested in the fund or will be distributed back to the investors,dividends and distributions,dividends and distributions,No dividend re-investment service,"Must specify whether dividends are distributed or reinvested. Should include frequency of distribution (e.g., annually, quarterly)."
Custodian / Trustee,Name of the trustee that directly or through act as custodian,Federal Income Taxes,Notes to Financial statements,Transactions with Affiliates of the Trustee and Sponsor,Must provide the legal name of custodian/trustee.
Fund Administrator,Authority who will be appointed as the fund Administrator,Federal Income Taxes,Federal Income Taxes,Transactions with Affiliates of the Trustee and Sponsor,Must provide the legal name.
Auditor,Name of firm who will audit the financial statement of the fund,Report of independent registered public accounting firm,Report of independent registered public accounting firm,Basis of opinion,Must provide the legal name of the audit firm.
Investment Objective,The risk and return objective of the fund .,In the summary section of the prospectus we will get this information,Summary,Investment Objective,Must clearly state the risk/return objective. Should reference the index or benchmark if applicable.
Investment Strategy,Active /Passive,Summary,Principal Risks of Investing in the Trust,Passive Strategy/Index Risk,"Must explicitly classify as Active or Passive. Should be a direct statement, not implied."
Leverage Policy,borrow money and then make investments,ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS,investment restrcitions,,Must state whether borrowing for investment is authorized or prohibited.
Use of Derivatives,Investment in derivatives is allowed or not,ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS,investment restrcitions,,Must state whether derivatives are authorized or prohibited. Should list examples if applicable.
Initial/Minimum Investment,For operations to start the initial no. of units required,Financial Highlights,Notes to Financial statements,Note1 - Organisation,Should state the initial no of units required
Transfer Agent Details,party who will account for all the transaction of the fund,notes to financial statements,Notes to Financial statements,Transactions with Affiliates of the Trustee and Sponsor,Should have name and details of the agent
Subscription / Redemption Rules,"Subscription and redemption rules ",PURCHASES AND REDEMPTIONS OF CREATION UNITS,PURCHASES AND REDEMPTIONS OF CREATION UNITS,,Must specify process for creation/redemption. Should reference Authorized Participants and Distributor.
Load Fees,Fees bourne by investors while purchasing the units,Summary,Fees and Expenses of the Trust,,Must explicitly state whether load fees exist or not.
Regulatory Authority,REgulatory reporting of the fund,EXCHANGE LISTING AND TRADING,CONTINUOUS OFFERING OF UNITS,CONTINUOUS OFFERING OF UNITS,Should contain regulatory reporting of the fund
Investment Restrictions,"Certain investment restrictions / not authorized to invest ",Additional  information regarding  dividend and distributions,Additional  information regarding  dividend and distributions,Investment restrictions,Must list prohibited activities/investments. Should be explicit and categorical.
Taxation Authority,fund will comply to which taxation authority,Federal Income Taxes,Federal Income Taxes,Taxation of the Trust,"Must specify the tax authority/regulation applicable. Should reference recognized jurisdiction (e.g., U.S. federal tax)."
Risk Limits,any kind concentration limits or restrcitions,ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS,investment restrcitions,,See if any kind concentration limits or restrcitions follow
Performance Reporting,"which reporting standard would fund ",Financial Highlights,Notes to Financial statements,Note 2 Ã¢â‚¬â€ Summary of Significant Accounting Policies,"See which reporting standard would fund "
